Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Hydrogen,340,30000,1.000156641,1.400855184,0.009874842,0.021389795
Hydrogen,340,40000,1.000208855,1.400861621,0.009875027,0.028518239
Hydrogen,340,50000,1.000261068,1.400868058,0.009875203,0.035645939
Hydrogen,340,60000,1.000313282,1.400874376,0.009875373,0.042772893
Hydrogen,340,70000,1.000365496,1.400880814,0.009875539,0.049899101
Hydrogen,340,80000,1.000417709,1.400887251,0.009875703,0.057024568
Hydrogen,340,90000,1.000470042,1.400893688,0.009875863,0.06414929
Hydrogen,340,100000,1.000522256,1.400900006,0.009876022,0.071273267
Hydrogen,340,500000,1.002615929,1.401152134,0.009882001,0.355622172
Hydrogen,340,1000000,1.00524354,1.401457071,0.009889572,0.709385216
Hydrogen,360,10000,1.000049949,1.399585485,0.010265674,0.006734543
Hydrogen,360,20000,1.000099778,1.399590254,0.010265884,0.013468415
Hydrogen,360,30000,1.000149727,1.399595141,0.01026607,0.020201614
Hydrogen,360,40000,1.000199676,1.39959991,0.010266244,0.026934139
Hydrogen,360,50000,1.000249624,1.399604678,0.010266412,0.033665996
Hydrogen,360,60000,1.000299454,1.399609447,0.010266573,0.040397178
Hydrogen,360,70000,1.000349402,1.399614215,0.010266731,0.047127686
Hydrogen,360,80000,1.000399351,1.399619102,0.010266885,0.053857528
Hydrogen,360,90000,1.0004493,1.399623871,0.010267038,0.060586691
Hydrogen,360,100000,1.000499249,1.399628639,0.010267188,0.067315184
Hydrogen,360,500000,1.002500296,1.399816632,0.010272815,0.335904121
Hydrogen,360,1000000,1.005010486,1.400043726,0.010279907,0.670130253
Hydrogen,380,10000,1.000047684,1.398740172,0.010629941,0.006380107
Hydrogen,380,20000,1.000095487,1.398743629,0.010630142,0.012759605
Hydrogen,380,30000,1.00014329,1.398747206,0.01063032,0.019138495
Hydrogen,380,40000,1.000190973,1.398750663,0.010630487,0.025516775
Hydrogen,380,50000,1.000238776,1.398754239,0.010630645,0.031894445
Hydrogen,380,60000,1.00028646,1.398757696,0.010630799,0.038271509
Hydrogen,380,70000,1.000334263,1.398761153,0.010630948,0.044647962
Hydrogen,380,80000,1.000382066,1.39876461,0.010631096,0.051023804
Hydrogen,380,90000,1.000429749,1.398768187,0.01063124,0.057399038
Hydrogen,380,100000,1.000477552,1.398771644,0.010631382,0.063773662
Hydrogen,380,500000,1.002391338,1.398908496,0.010636698,0.318259537
Hydrogen,380,1000000,1.00479126,1.399073362,0.010643368,0.634998798
Hydrogen,400,10000,1.000045657,1.398183465,0.010972193,0.006061114
Hydrogen,400,20000,1.000091434,1.398185968,0.010972385,0.012121675
Hydrogen,400,30000,1.000137091,1.398188472,0.010972555,0.018181682
Hydrogen,400,40000,1.000182867,1.398190856,0.010972714,0.024241135
Hydrogen,400,50000,1.000228524,1.398193359,0.010972866,0.030300032
Hydrogen,400,60000,1.000274301,1.398195744,0.010973012,0.036358375
Hydrogen,400,70000,1.000319958,1.398198247,0.010973155,0.042416167
Hydrogen,400,80000,1.000365734,1.398200631,0.010973295,0.048473403
Hydrogen,400,90000,1.00041151,1.398203135,0.010973432,0.054530088
Hydrogen,400,100000,1.000457168,1.398205519,0.010973568,0.060586214
Hydrogen,400,500000,1.002288938,1.398301125,0.010978606,0.302377433
Hydrogen,400,1000000,1.004585385,1.398415565,0.010984899,0.603372455
Hydrogen,450,10000,1.000041127,1.397489309,0.011774325,0.005387682
Hydrogen,450,20000,1.000082254,1.397489905,0.011774499,0.01077492
Hydrogen,450,30000,1.000123501,1.397490501,0.011774654,0.016161716
Hydrogen,450,40000,1.000164628,1.397491097,0.011774796,0.021548066
Hydrogen,450,50000,1.000205755,1.397491693,0.011774933,0.026933976
Hydrogen,450,60000,1.000247002,1.39749229,0.011775064,0.032319441
Hydrogen,450,70000,1.000288129,1.397492886,0.011775192,0.03770446
Hydrogen,450,80000,1.000329256,1.397493482,0.011775318,0.04308904
Hydrogen,450,90000,1.000370502,1.397494078,0.011775441,0.048473176
Hydrogen,450,100000,1.00041163,1.397494674,0.011775562,0.053856868
Hydrogen,450,500000,1.002060413,1.397517443,0.011780019,0.268841267
Hydrogen,450,1000000,1.00412631,1.397542834,0.011785535,0.536576271
Hydrogen,500,10000,1.000037313,1.397130847,0.012601235,0.004848932
Hydrogen,500,20000,1.000074506,1.39713037,0.012601395,0.009697503
Hydrogen,500,30000,1.000111818,1.397129774,0.012601536,0.014545713
Hydrogen,500,40000,1.000149131,1.397129297,0.012601666,0.01939356
Hydrogen,500,50000,1.000186443,1.39712882,0.012601791,0.024241047
Hydrogen,500,60000,1.000223756,1.397128224,0.01260191,0.029088171
Hydrogen,500,70000,1.000260949,1.397127748,0.012602027,0.033934936
Hydrogen,500,80000,1.000298262,1.397127151,0.01260214,0.038781337
Hydrogen,500,90000,1.000335574,1.397126675,0.012602252,0.043627378
Hydrogen,500,100000,1.000372887,1.397126079,0.012602361,0.048473056
Hydrogen,500,500000,1.001866221,1.397104025,0.012606363,0.242004022
Hydrogen,500,1000000,1.003736854,1.397074699,0.012611271,0.483106017
Hydrogen,550,10000,1.000033975,1.396681786,0.013601525,0.004408135
Hydrogen,550,20000,1.000067949,1.396680474,0.013601674,0.00881597
Hydrogen,550,30000,1.000101924,1.396679282,0.013601803,0.013223507
Hydrogen,550,40000,1.000135899,1.39667809,0.013601923,0.017630743
Hydrogen,550,50000,1.000169873,1.396676779,0.013602038,0.022037679
Hydrogen,550,60000,1.000203848,1.396675587,0.013602148,0.026444316
Hydrogen,550,70000,1.000237942,1.396674395,0.013602254,0.030850654
Hydrogen,550,80000,1.000271916,1.396673083,0.013602358,0.035256691
Hydrogen,550,90000,1.000305891,1.396671891,0.013602461,0.039662432
Hydrogen,550,100000,1.000339866,1.39667058,0.013602561,0.044067871
Hydrogen,550,500000,1.001700759,1.396620512,0.013606193,0.220040008
Hydrogen,550,1000000,1.003405094,1.396556973,0.013610615,0.439332515
Hydrogen,600,10000,1.000031114,1.395971537,0.014941642,0.004040802
Hydrogen,600,20000,1.000062346,1.395969868,0.014941781,0.008081352
Hydrogen,600,30000,1.00009346,1.395968199,0.014941902,0.01212165
Hydrogen,600,40000,1.000124574,1.39596653,0.014942014,0.016161697
Hydrogen,600,50000,1.000155687,1.395964861,0.01494212,0.020201491
Hydrogen,600,60000,1.00018692,1.395963192,0.014942221,0.024241036
Hydrogen,600,70000,1.000218034,1.395961523,0.01494232,0.028280327
Hydrogen,600,80000,1.000249147,1.395959854,0.014942416,0.032319367
Hydrogen,600,90000,1.00028038,1.395958185,0.01494251,0.036358155
