"ProductCode","CodeDisplay","Name","ProductOrder","Cost"
FPD470_1,FPD470,FPD470 Wedge Flow Meter with pipe taps,1
FPD470_2,FPD470,FPD470 Wedge Flow Meter with flanged taps,2
FPD470_3,FPD470,FPD470 Wedge Flow Meter with chemical tees,3
