ColumnName,Value,Units,UnitsType,Notes,Expression
GADimensionA,194,mm,length,O/DIA A = 194mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp34
GADimensionA,207,mm,length,O/DIA A = 207mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp27
GADimensionA,209.5,mm,length,O/DIA A = 209.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp28
GADimensionA,235,mm,length,O/DIA A = 235mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp19
GADimensionA,197,mm,length,O/DIA A = 197mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp16
GADimensionA,216,mm,length,O/DIA A = 216mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp31
GADimensionA,212.5,mm,length,O/DIA A = 212.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp33
GADimensionA,241.5,mm,length,O/DIA A = 241.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp34
GADimensionA,247.5,mm,length,O/DIA A = 247.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp27
GADimensionA,254,mm,length,O/DIA A = 254mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp28
GADimensionA,279.5,mm,length,O/DIA A = 279.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp19
GADimensionA,222,mm,length,O/DIA A = 222mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp16
GADimensionA,251,mm,length,O/DIA A = 251mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp31
GADimensionA,247.5,mm,length,O/DIA A = 247.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp33
GADimensionA,267,mm,length,O/DIA A = 267mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp34
GADimensionA,289,mm,length,O/DIA A = 289mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp27
GADimensionA,282.5,mm,length,O/DIA A = 282.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp28
GADimensionA,317.5,mm,length,O/DIA A = 317.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp19
GADimensionA,279.5,mm,length,O/DIA A = 279.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp16
GADimensionA,308,mm,length,O/DIA A = 308mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp31
GADimensionA,305,mm,length,O/DIA A = 305mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp33
GADimensionA,321,mm,length,O/DIA A = 321mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp34
GADimensionA,359,mm,length,O/DIA A = 359mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp27
GADimensionA,353,mm,length,O/DIA A = 353mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp28
GADimensionA,387.5,mm,length,O/DIA A = 387.5mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp19
GADimensionA,340,mm,length,O/DIA A = 340mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp16
GADimensionA,362,mm,length,O/DIA A = 362mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp31
GADimensionA,359,mm,length,O/DIA A = 359mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp33
GADimensionA,400,mm,length,O/DIA A = 400mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp34
GADimensionA,435,mm,length,O/DIA A = 435mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp27
GADimensionA,435,mm,length,O/DIA A = 435mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp28
GADimensionA,476,mm,length,O/DIA A = 476mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp38 AND Exp19
GADimensionA,410,mm,length,O/DIA A = 410mm,Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp39 AND Exp16
