ProductCode,SelectionGroup,PartNumber,ExclusionRule,Cost
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=080) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=090) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=100) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=150) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=200) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),342
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=250) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),421
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=300) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),593
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=350) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),794
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=400) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),1021
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=450) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),1277
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=500) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),1564
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,(CH/FPD/LINE/SIZE=600) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),2220
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=Z9,999999
FPD470_1,CH/FPD/SURFACE/TREAT,HF2,CH/FPD/LINE/SIZE=650 OR CH/FPD/LINE/SIZE=700 OR CH/FPD/LINE/SIZE=750 OR CH/FPD/LINE/SIZE=800 OR CH/FPD/LINE/SIZE=850 OR CH/FPD/LINE/SIZE=900 OR CH/FPD/LINE/SIZE=950 OR CH/FPD/LINE/SIZE=001 OR CH/FPD/LINE/SIZE=051 OR CH/FPD/LINE/SIZE=101 OR CH/FPD/LINE/SIZE=151 OR CH/FPD/LINE/SIZE=201 OR CH/FPD/LINE/SIZE=999,999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3 OR CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=D1) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T3 OR CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3 OR CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A3 OR CH/FPD/END/CONN/RAT=D2) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
FPD470_1,CH/FPD/TAPPING/SETS,TN1,(CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080 OR CH/FPD/LINE/SIZE=090 OR CH/FPD/LINE/SIZE=100 OR CH/FPD/LINE/SIZE=125 OR CH/FPD/LINE/SIZE=150 OR CH/FPD/LINE/SIZE=200) AND (CH/FPD/PIPE/SCH=T3 OR CH/FPD/PIPE/SCH=S8) AND (CH/FPD/NONELEM/MAT=C3) AND (CH/FPD/ELEM/MAT=C3 OR CH/FPD/ELEM/MAT=S6) AND (CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A6 OR CH/FPD/END/CONN/RAT=D3 OR CH/FPD/END/CONN/RAT=D4) AND (CH/FPD/TAPPING/TYPE=S1 OR CH/FPD/TAPPING/TYPE=T1) AND (CH/FPD/TAPPING/SIZE=T4) AND (CH/FPD/TAPPING/RAT=S1 OR CH/FPD/TAPPING/RAT=T1 OR CH/FPD/TAPPING/RAT=T3),999999
