Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Carbon Monoxide,300,10000,0.999971151,1.399341106,0.017972212,0.112297289
Carbon Monoxide,300,20000,0.999942303,1.39950943,0.017974701,0.22460106
Carbon Monoxide,300,30000,0.999913514,1.399677873,0.017976915,0.336911291
Carbon Monoxide,300,40000,0.999884784,1.399846196,0.01797899,0.449227959
Carbon Monoxide,300,50000,0.999856114,1.40001452,0.01798098,0.561551034
Carbon Monoxide,300,60000,0.999827504,1.400182843,0.017982906,0.673880517
Carbon Monoxide,300,70000,0.999798954,1.400351167,0.017984789,0.786216378
Carbon Monoxide,300,80000,0.999770463,1.40051949,0.017986638,0.898558676
Carbon Monoxide,300,90000,0.999742031,1.400687814,0.01798846,1.010907292
Carbon Monoxide,300,100000,0.9997136,1.400856018,0.017990259,1.123262167
Carbon Monoxide,300,500000,0.998621166,1.407571673,0.01805809,5.62245512
Carbon Monoxide,300,1000000,0.997376025,1.415918231,0.018144276,11.25894833
Carbon Monoxide,300,1500000,0.996265829,1.424199462,0.018234635,16.90724182
Carbon Monoxide,300,2000000,0.99529165,1.432402372,0.018329231,22.56505394
Carbon Monoxide,300,2500000,0.994454443,1.440514088,0.018427897,28.23006439
Carbon Monoxide,300,3000000,0.993754923,1.448522329,0.018530451,33.89992142
Carbon Monoxide,300,3493500,0.993200123,1.456312656,0.01863532,39.49851227
Carbon Monoxide,320,10000,0.999987066,1.398913503,0.018913733,0.105277032
Carbon Monoxide,320,20000,0.999974191,1.399052143,0.018916078,0.210556775
Carbon Monoxide,320,30000,0.999961317,1.399190784,0.018918162,0.315839231
Carbon Monoxide,320,40000,0.999948561,1.399329305,0.018920112,0.421124369
Carbon Monoxide,320,50000,0.999935806,1.399467945,0.018921981,0.526412129
Carbon Monoxide,320,60000,0.99992311,1.399606466,0.018923789,0.631702602
Carbon Monoxide,320,70000,0.999910414,1.399744987,0.018925555,0.736995697
Carbon Monoxide,320,80000,0.999897838,1.399883509,0.018927289,0.842291474
Carbon Monoxide,320,90000,0.999885261,1.40002203,0.018928997,0.947589815
Carbon Monoxide,320,100000,0.999872684,1.400160432,0.018930683,1.052890778
Carbon Monoxide,320,500000,0.999408364,1.405676603,0.018993987,5.266899586
Carbon Monoxide,320,1000000,0.998929083,1.412506461,0.019074058,10.53885365
Carbon Monoxide,320,1500000,0.998562455,1.419255972,0.01915773,15.81408405
Carbon Monoxide,320,2000000,0.998308778,1.425917149,0.019245084,21.09080315
Carbon Monoxide,320,2500000,0.99816829,1.432482004,0.019335968,26.36721611
Carbon Monoxide,320,3000000,0.998140872,1.438943028,0.019430213,31.64152718
Carbon Monoxide,320,3493500,0.998224735,1.445211053,0.019526372,36.8434639
Carbon Monoxide,340,10000,0.999998987,1.39833796,0.019821651,0.099083081
Carbon Monoxide,340,20000,0.999998033,1.398452759,0.01982387,0.198166355
Carbon Monoxide,340,30000,0.999997139,1.398567557,0.019825839,0.297249824
