"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADimensionA","178","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp33","O/DIA A = 178mm"
"GADimensionA","194","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp34","O/DIA A = 194mm"
"GADimensionA","207","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp27","O/DIA A = 207mm"
"GADimensionA","209.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp28","O/DIA A = 209.5mm"
"GADimensionA","235","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp32 AND Exp19","O/DIA A = 235mm"
"GADimensionA","197","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp16","O/DIA A = 197mm"
"GADimensionA","216","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp31","O/DIA A = 216mm"
"GADimensionA","212.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp33","O/DIA A = 212.5mm"
"GADimensionA","241.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp34","O/DIA A = 241.5mm"
"GADimensionA","247.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp27","O/DIA A = 247.5mm"
"GADimensionA","254","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp28","O/DIA A = 254mm"
"GADimensionA","279.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp35 AND Exp19","O/DIA A = 279.5mm"
"GADimensionA","222","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp16","O/DIA A = 222mm"
"GADimensionA","251","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp31","O/DIA A = 251mm"
"GADimensionA","247.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp33","O/DIA A = 247.5mm"
"GADimensionA","267","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp34","O/DIA A = 267mm"
"GADimensionA","289","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp27","O/DIA A = 289mm"
"GADimensionA","282.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp28","O/DIA A = 282.5mm"
"GADimensionA","317.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp36 AND Exp19","O/DIA A = 317.5mm"
"GADimensionA","279.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp16","O/DIA A = 279.5mm"
"GADimensionA","308","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp37 AND Exp31","O/DIA A = 308mm"
