PartNumber,HDRatio,Kfactor,RecoveryPercentage
H2,0.2,0.74341,0.1424
H3,0.3,0.75176,0.2523
H4,0.4,0.76605,0.3735
H5,0.5,0.79425,0.5
H6,0.6,0.86283,0.6265
H7,0.7,0.92294,0.7477
