"ProductCode","CodeDisplay","Name","ProductOrder","Cost","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
FPD470_1,FPD470,FPD470 Wedge Flow Meter with pipe taps,1,,,,,,,,,,,
FPD470_2,FPD470,FPD470 Wedge Flow Meter with flanged taps,2,,,,,,,,,,,
FPD470_3,FPD470,FPD470 Wedge Flow Meter with chemical tees,3,,,,,,,,,,,
