"Table","Display name","Field","Display name","Data type"
"ProductItem","Product Item","PurchaseCodeDescriptionHTML","PurchaseCodeDescriptionHTML","System.String"
"ProductItem","Product Item","GADrawing1","GADrawing1","System.String"
"ProductItem","Product Item","GADrawing2","GADrawing2","System.String"
"ProductItem","Product Item","GADrawing3","GADrawing3","System.String"
"ProductItem","Product Item","GADimensionY","GADimensionY","System.String"
"ProductItem","Product Item","GADimensionNL","GADimensionNL","System.String"
"ProductItem","Product Item","GADimensionC","GADimensionC","System.String"
"ProductItem","Product Item","GADimensionHL","GADimensionHL","System.String"
"ProductItem","Product Item","PipeIDOperatingTemp","PipeIDOperatingTemp","System.Double"
"ProductItem","Product Item","PressureLossUnits","PressureLossUnits","System.String"
"ProductItem","Product Item","InsertedLength","InsertedLength","System.Double"
"ProductItem","Product Item","RetractedLength","RetractedLength","System.Double"
"ProductItem","Product Item","FlowGraphImage","FlowGraphImage","CustomItems.SerializationSafeImage"
"SAPItems","SAPItems","ProductItem","ProductItem","System.Guid"
"SAPItems","SAPItems","PK","PK","System.Guid"
"SAPItems","SAPItems","DisplayIndex","DisplayIndex","System.Int32"
"SAPItems","SAPItems","SelectionGroup","SelectionGroup","System.String"
"SAPItems","SAPItems","PartNumber","PartNumber","System.String"
"SAPItems","SAPItems","ShortName","ShortName","System.String"
"SAPItems","SAPItems","Order","Order","System.Int32"
"Fluids","Fluids","ProductItem","ProductItem","System.Guid"
"Fluids","Fluids","PK","PK","System.Guid"
"Fluids","Fluids","Fluid","Fluid","System.String"
"Fluids","Fluids","DisplayIndex","DisplayIndex","System.Int32"
"Fluids","Fluids","UserFluidText","UserFluidText","System.String"
"Fluids","Fluids","Percentage","Percentage","System.Double"
"Fluids","Fluids","ZFactor","ZFactor","System.Double"
"Fluids","Fluids","OperatingDensity","OperatingDensity","System.Double"
"Fluids","Fluids","IsentropicIndex","IsentropicIndex","System.Double"
"Fluids","Fluids","OperatingViscosity","OperatingViscosity","System.Double"
"RevisionHistory","Revision History","ProductItem","ProductItem","System.Guid"
"RevisionHistory","Revision History","PK","PK","System.Guid"
"RevisionHistory","Revision History","PrevCalcIssue","Calc Issue","System.String"
"RevisionHistory","Revision History","PrevCalcStatus","Calc Status/Date","System.String"
"RevisionHistory","Revision History","PrevCalcDate","PrevCalcDate","System.DateTime"
"RevisionHistory","Revision History","PrevCalcUser","PrevCalcUser","System.String"
"RevisionHistory","Revision History","PrevCalcNotes","Calc Notes","System.String"
"RevisionHistory","Revision History","HistoryRecordedOn","HistoryRecordedOn","System.DateTime"
"RevisionHistory","Revision History","HistoryRecordedBy","HistoryRecordedBy","System.String"
"TagKeys","Tag Keys","ProductItem","ProductItem","System.Guid"
"TagKeys","Tag Keys","PK","PK","System.Guid"
"TagKeys","Tag Keys","DisplayIndex","DisplayIndex","System.Int32"
"TagKeys","Tag Keys","TagKey","TagKey","System.String"
"TagKeys","Tag Keys","SerialNumber","SerialNumber","System.String"
"TagKeys","Tag Keys","SAPSalesOrderItemNumber","SAPSalesOrderItemNumber","System.String"
"TagKeys","Tag Keys","SAPProductionOrderNumber","SAPProductionOrderNumber","System.String"
"DPStages","DPStages","ProductItem","ProductItem","System.Guid"
"DPStages","DPStages","PK","PK","System.Guid"
"DPStages","DPStages","StageNumber","StageNumber","System.Int32"
"CustomerData","Customer Data","CustomerName","CustomerName","System.String"
"CustomerData","Customer Data","CompanyName","CompanyName","System.String"
"CustomerData","Customer Data","Address","Address","System.String"
"CustomerData","Customer Data","Phone","Phone","System.String"
"CustomerData","Customer Data","FAX","FAX","System.String"
"CustomerData","Customer Data","Email","Email","System.String"
"CustomerData","Customer Data","Currency","Currency","System.String"
"CustomerData","Customer Data","QuoteValidity","QuoteValidity","System.String"
"CustomerData","Customer Data","DeliveryEstimate","DeliveryEstimate","System.String"
"CustomerData","Customer Data","PackingDetail","PackingDetail","System.String"
"CustomerData","Customer Data","PackingPrice","PackingPrice","System.String"
"CustomerData","Customer Data","DeliveryDetail","DeliveryDetail","System.String"
"CustomerData","Customer Data","DeliveryPrice","DeliveryPrice","System.String"
"CustomerData","Customer Data","PackingSpecDetail","PackingSpecDetail","System.String"
"CustomerData","Customer Data","DocumentationDetail","DocumentationDetail","System.String"
"CustomerData","Customer Data","DocumentationPrice","DocumentationPrice","System.String"
"CustomerData","Customer Data","ProjectName","ProjectName","System.String"
"CustomerData","Customer Data","CustomerReference","CustomerReference","System.String"
"CustomerData","Customer Data","OurJobReference","OurJobReference","System.String"
"CustomerData","Customer Data","OurQuoteReference","OurQuoteReference","System.String"
"CustomerData","Customer Data","PurchaseOrderNumber","PurchaseOrderNumber","System.String"
"CustomerData","Customer Data","SAPSalesOrderNumber","SAPSalesOrderNumber","System.String"
"CustomerData","Customer Data","SAPPEDCountry","SAPPEDCountry","System.Boolean"
"Documents","Documents","PK","PK","System.Guid"
"Documents","Documents","DocGroup","DocGroup","System.Int32"
"Documents","Documents","DocTitle","DocTitle","System.String"
"Documents","Documents","Description","Description","System.String"
"Documents","Documents","DocType","DocType","System.String"
"Documents","Documents","Compressed","Compressed","System.Boolean"
