Description,CharacteristicCode_Logic,Active,MassEquation_kg,Bore_mm
"1""",(CH/FPD175/METER/SIZE=025),TRUE,9.5,26.64
"1½""",(CH/FPD175/METER/SIZE=040),TRUE,10,40.89
"2""",(CH/FPD175/METER/SIZE=050),TRUE,10.5,52.5
"3""",(CH/FPD175/METER/SIZE=080),TRUE,11.5,77.93
"4""",(CH/FPD175/METER/SIZE=100),TRUE,12,102.26
"6""",(CH/FPD175/METER/SIZE=150),TRUE,14,154.05
"8""",(CH/FPD175/METER/SIZE=200),TRUE,16,202.72
"10""",(CH/FPD175/METER/SIZE=250),TRUE,19,254.51
"12""",(CH/FPD175/METER/SIZE=300),TRUE,21.5,303.23
