"ProductCode","CodeDisplay","Name","ProductOrder","Cost"
"FPD170","FPD170","FPD170 - Orifice Carrier Assembly",1,0
"FPD175","FPD175","FPD175 - Compact Orifice Carrier Assembly",1,0
