Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Helium,380,30000,1.00011003,1.666651249,0.023810642,0.038001034
Helium,380,40000,1.000146747,1.666646123,0.023810856,0.050666183
Helium,380,50000,1.000183463,1.666640878,0.023811059,0.063330404
Helium,380,60000,1.00022018,1.666635752,0.023811253,0.075993702
Helium,380,70000,1.000256896,1.666630626,0.023811441,0.08865606
Helium,380,80000,1.000293612,1.666625381,0.023811623,0.101317495
Helium,380,90000,1.00033021,1.666620255,0.0238118,0.113977998
Helium,380,100000,1.000367045,1.666615129,0.023811975,0.126637578
Helium,400,10000,1.00003469,1.666661739,0.024520179,0.012034567
Helium,400,20000,1.00006938,1.666656852,0.024520438,0.024068298
Helium,400,30000,1.000104189,1.666651845,0.024520662,0.036101192
Helium,400,40000,1.000138879,1.666646957,0.024520867,0.048133254
Helium,400,50000,1.000173569,1.66664207,0.02452106,0.060164478
Helium,400,60000,1.000208378,1.666637063,0.024521247,0.072194867
Helium,400,70000,1.000243068,1.666632175,0.024521425,0.084224418
Helium,400,80000,1.000277877,1.666627288,0.024521599,0.096253134
Helium,400,90000,1.000312567,1.666622281,0.02452177,0.108281016
Helium,400,100000,1.000347376,1.666617393,0.024521938,0.120308056
Helium,450,10000,1.000030637,1.666662216,0.026190491,0.010697437
Helium,450,20000,1.000061154,1.666657805,0.026190726,0.021394219
Helium,450,30000,1.000091791,1.666653395,0.026190929,0.032090347
Helium,450,40000,1.000122428,1.666648984,0.026191115,0.04278582
Helium,450,50000,1.000152946,1.666644573,0.02619129,0.05348064
Helium,450,60000,1.000183582,1.666640162,0.026191458,0.064174801
Helium,450,70000,1.000214219,1.666635752,0.02619162,0.074868314
Helium,450,80000,1.000244856,1.666631341,0.026191777,0.085561164
Helium,450,90000,1.000275373,1.66662693,0.026191931,0.096253365
Helium,450,100000,1.00030601,1.666622519,0.02619208,0.106944911
Helium,500,10000,1.000027299,1.666662693,0.027960768,0.009627725
Helium,500,20000,1.000054598,1.666658759,0.027960986,0.019254923
Helium,500,30000,1.000081897,1.666654706,0.027961172,0.028881596
Helium,500,40000,1.000109196,1.666650772,0.027961342,0.038507745
Helium,500,50000,1.000136614,1.666646838,0.027961504,0.048133366
Helium,500,60000,1.000163913,1.666642785,0.027961656,0.057758462
Helium,500,70000,1.000191212,1.666638851,0.027961804,0.067383029
Helium,500,80000,1.000218511,1.666634917,0.027961947,0.07700707
Helium,500,90000,1.00024581,1.666630864,0.027962087,0.08663059
Helium,500,100000,1.000273228,1.66662693,0.027962223,0.096253581
Helium,550,10000,1.000024676,1.666663051,0.030192457,0.008752501
Helium,550,20000,1.000049233,1.666659474,0.030192658,0.017504569
Helium,550,30000,1.00007391,1.666655898,0.030192832,0.026256207
Helium,550,40000,1.000098586,1.666652322,0.03019299,0.035007413
