CharacteristicCode_Logic,Active,Description,IsoValveMass_kg,IsoValveLength_mm
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 900lb RF",,305
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 1500lb RF",,305
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 150lb FF",7.75,165
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 300lb FF",10.5,191
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 600lb FF",13,241
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A7) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 900lb FF",,305
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A8) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 1500lb FF",,305
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 150lb RTJ",,165
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A3) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 300lb RTJ",,191
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A6) AND (NOT CH/FPD/ISO/VALVE=Y0Y) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 600lb RTJ",,241
