ProductCode,CodeDisplay,Name,ProductOrder,Cost,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD175,FPD175,FPD175 Orifice Carrier Assembly with Integral Welded Manifold,1,,,,,,,,,,,
FPD170,FPD170,FPD170 Orifice Carrier Assembly,1,,,,,,,,,,,
