MaterialCrossReference,Temperature_K,ModElasticity_msi,ModElasticity_Pa
"Cr-Mo Steels, Cr ½% - 2%",866.4833333,23,1.58579E+11
"Cr-Mo Steels, Cr ½% - 2%",922.0388889,21.8,1.50306E+11
"Cr-Mo Steels, Cr ½% - 2%",977.5944444,20.5,1.41343E+11
"Cr-Mo Steels, Cr ½% - 2%",1033.15,18.9,1.30311E+11
"Cr-Mo Steels, Cr 2¼% - 3%",74.81666667,32.6,2.25E+11
"Cr-Mo Steels, Cr 2¼% - 3%",144.2611111,32,2.21E+11
"Cr-Mo Steels, Cr 2¼% - 3%",199.8166667,31.4,2.16E+11
"Cr-Mo Steels, Cr 2¼% - 3%",294.2611111,30.6,2.11E+11
"Cr-Mo Steels, Cr 2¼% - 3%",366.4833333,29.8,2.05E+11
"Cr-Mo Steels, Cr 2¼% - 3%",422.0388889,29.4,2.03E+11
"Cr-Mo Steels, Cr 2¼% - 3%",477.5944444,28.8,1.99E+11
"Cr-Mo Steels, Cr 2¼% - 3%",533.15,28.3,1.95E+11
"Cr-Mo Steels, Cr 2¼% - 3%",588.7055556,27.7,1.91E+11
"Cr-Mo Steels, Cr 2¼% - 3%",644.2611111,27.1,1.87E+11
"Cr-Mo Steels, Cr 2¼% - 3%",699.8166667,26.3,1.81E+11
"Cr-Mo Steels, Cr 2¼% - 3%",755.3722222,25.6,1.77E+11
"Cr-Mo Steels, Cr 2¼% - 3%",810.9277778,24.6,1.70E+11
"Cr-Mo Steels, Cr 2¼% - 3%",866.4833333,23.7,1.63E+11
"Cr-Mo Steels, Cr 2¼% - 3%",922.0388889,22.5,1.55E+11
"Cr-Mo Steels, Cr 2¼% - 3%",977.5944444,21.1,1.45E+11
"Cr-Mo Steels, Cr 2¼% - 3%",1033.15,19.4,1.34E+11
"Cr-Mo Steels, Cr 5% - 9%",74.81666667,32.9,2.26838E+11
"Cr-Mo Steels, Cr 5% - 9%",144.2611111,32.3,2.22701E+11
"Cr-Mo Steels, Cr 5% - 9%",199.8166667,31.7,2.18564E+11
"Cr-Mo Steels, Cr 5% - 9%",294.2611111,30.9,2.13048E+11
"Cr-Mo Steels, Cr 5% - 9%",366.4833333,30.1,2.07532E+11
"Cr-Mo Steels, Cr 5% - 9%",422.0388889,29.7,2.04774E+11
"Cr-Mo Steels, Cr 5% - 9%",477.5944444,29,1.99948E+11
"Cr-Mo Steels, Cr 5% - 9%",533.15,28.6,1.9719E+11
"Cr-Mo Steels, Cr 5% - 9%",588.7055556,28,1.93053E+11
"Cr-Mo Steels, Cr 5% - 9%",644.2611111,27.3,1.88227E+11
"Cr-Mo Steels, Cr 5% - 9%",699.8166667,26.1,1.79953E+11
"Cr-Mo Steels, Cr 5% - 9%",755.3722222,24.7,1.70301E+11
"Cr-Mo Steels, Cr 5% - 9%",810.9277778,22.7,1.56511E+11
"Cr-Mo Steels, Cr 5% - 9%",866.4833333,20.4,1.40653E+11
"Cr-Mo Steels, Cr 5% - 9%",922.0388889,18.2,1.25485E+11
"Cr-Mo Steels, Cr 5% - 9%",977.5944444,15.5,1.06869E+11
"Cr-Mo Steels, Cr 5% - 9%",1033.15,12.7,87563417456
C70600,74.81666667,19,1.31E+11
C70600,144.2611111,18.7,1.28932E+11
C70600,199.8166667,18.5,1.27553E+11
C70600,294.2611111,18,1.24106E+11
C70600,366.4833333,17.6,1.21348E+11
C70600,422.0388889,17.3,1.19279E+11
C70600,477.5944444,16.9,1.16521E+11
C70600,533.15,16.6,1.14453E+11
C70600,588.7055556,16,1.10316E+11
C70600,644.2611111,15.4,1.06179E+11
Titanium,294.2611111,15.5,1.06869E+11
Titanium,366.4833333,15,1.03421E+11
Titanium,422.0388889,14.6,1.00663E+11
Titanium,477.5944444,14,96526601920
Titanium,533.15,13.3,91700271824
Titanium,588.7055556,12.6,86873941728
Titanium,644.2611111,11.9,82047611632
Titanium,699.8166667,11.2,77221281536
UNS S31254,273.15,24.22,1.66991E+11
UNS N08020,273.15,28,1.93053E+11
UNS N06022,273.15,29.5,2.03395E+11
