"ProductCode","SelectionGroup","PartNumber","ExclusionRule","Cost"
FPD350_1,CH/FPD/BOLT/TYPE/MAT,"BGC","(CH/FPD/END/CONN/RAT=A7 OR CH/FPD/END/CONN/RAT=D5 OR CH/FPD/END/CONN/RAT=D6 OR CH/FPD/END/CONN/RAT=D7) AND (CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=R6 OR CH/FPD/END/CONN/TYPE=F6 OR CH/FPD/END/CONN/TYPE=J2)","119"
FPD350_1,CH/FPD/BOLT/TYPE/MAT,"BGC","(CH/FPD/END/CONN/RAT=A7 OR CH/FPD/END/CONN/RAT=D5 OR CH/FPD/END/CONN/RAT=D6 OR CH/FPD/END/CONN/RAT=D7) AND (CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=R4 OR CH/FPD/END/CONN/TYPE=F4 OR CH/FPD/END/CONN/TYPE=J3)","201"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/SUPT=F1)","546"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/SUPT=T1)","350"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=015) AND (CH/FPD/END/SUPT=W1)","325"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/SUPT=F1)","599"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/SUPT=T1)","443"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=020 OR CH/FPD/LINE/SIZE=025) AND (CH/FPD/END/SUPT=W1)","372"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/SUPT=F1)","639"
FPD350_1,CH/FPD/ELEM/MAT,"S6","(CH/FPD/LINE/SIZE=032 OR CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/SUPT=T1)","473"
