"NominalBore_in","OutsideDia_mm","OutsideDia_in","5S_mm","5S_in","5_mm","5_in","10S_mm","10S_in","10_mm","10_in","20_mm","20_in","30_mm","30_in","40S_mm","40S_in","STD_mm","STD_in","40_mm","40_in","60_mm","60_in","80S_mm","80S_in","XS_mm","XS_in","80_mm","80_in","100_mm","100_in","120_mm","120_in","140_mm","140_in","160_mm","160_in","XXS_mm","XXS_in"
"38""",965,38,,,,,,,,,,,,,,,946.2,37.25,,,,,,,939.8,37,,,,,,,,,,,,
"40""",1016,40,,,,,,,,,,,,,,,997,39.25,,,,,,,990.6,39,,,,,,,,,,,,
"42""",1067,42,,,,,,,,,,,,,,,1047.8,41.25,,,,,,,1041.4,41,,,,,,,,,,,,
"44""",1118,44,,,,,,,,,,,,,,,1098.94,43.25,,,,,,,1092.6,43,,,,,,,,,,,,
"46""",1150,46,,,,,,,,,,,,,,,1130.94,45.25,,,,,,,1124.6,45,,,,,,,,,,,,
"48""",1219.2,48,,,,,,,,,,,,,,,1200.2,47.25,,,,,,,1193.8,47,,,,,,,,,,,,
"52""",1300,52,,,,,,,,,,,,,,,1280.94,51.25,,,,,,,1274.6,51,,,,,,,,,,,,
"54""",1371.6,54,,,,,,,,,,,,,,,1352.6,53.25,,,,,,,1346.2,53,,,,,,,,,,,,
"56""",1400,56,,,,,,,,,,,,,,,1390.47,55.25,,,,,,,1374.6,55,,,,,,,,,,,,
"60""",1524,60,,,,,,,,,,,,,,,1505,59.25,,,,,,,1498.6,59,,,,,,,,,,,,
"64""",1600,64,,,,,,,,,,,,,,,1580.94,63.25,,,,,,,1574.6,63,,,,,,,,,,,,
"66""",1676.4,66,,,,,,,,,,,,,,,1657.4,65.25,,,,,,,1651,65,,,,,,,,,,,,
"68""",1700,68,,,,,,,,,,,,,,,1680.94,67.25,,,,,,,1674.6,67,,,,,,,,,,,,
"72""",1828.8,72,,,,,,,,,,,,,,,1809.8,71.25,,,,,,,1803.4,71,,,,,,,,,,,,
"78""",1981.2,78,,,,,,,,,,,,,,,1962.2,77.25,,,,,,,1955.8,77,,,,,,,,,,,,
"80""",2000,80,,,,,,,,,,,,,,,1980.94,79.25,,,,,,,1974.6,79,,,,,,,,,,,,
"84""",2133.6,84,,,,,,,,,,,,,,,2114.6,83.25,,,,,,,2108.2,83,,,,,,,,,,,,
"90""",2286,90,,,,,,,,,,,,,,,2267,89.25,,,,,,,2260.6,89,,,,,,,,,,,,
"96""",2438.4,96,,,,,,,,,,,,,,,2419.4,95.25,,,,,,,2413,95,,,,,,,,,,,,
"102""",2590.8,102,,,,,,,,,,,,,,,2571.8,101.25,,,,,,,2565.4,101,,,,,,,,,,,,
"108""",2743.2,108,,,,,,,,,,,,,,,2724.2,107.25,,,,,,,2717.8,107,,,,,,,,,,,,
"120""",3048,120,,,,,,,,,,,,,,,3029,119.25,,,,,,,3022.6,119,,,,,,,,,,,,
"144""",3657.6,144,,,,,,,,,,,,,,,3638.6,143.25,,,,,,,3632.2,143,,,,,,,,,,,,
