"MaterialCrossReference","Temperature_K","ModElasticity_Pa"
"Cr-Mo Steels, Cr 2¼% - 3%",866.4833333,163000000000
"Cr-Mo Steels, Cr 2¼% - 3%",922.0388889,155000000000
"Cr-Mo Steels, Cr 2¼% - 3%",977.5944444,145000000000
"Cr-Mo Steels, Cr 2¼% - 3%",1033.15,134000000000
"Cr-Mo Steels, Cr 5% - 9%",74.81666667,226838000000
"Cr-Mo Steels, Cr 5% - 9%",144.2611111,222701000000
"Cr-Mo Steels, Cr 5% - 9%",199.8166667,218564000000
"Cr-Mo Steels, Cr 5% - 9%",294.2611111,213048000000
"Cr-Mo Steels, Cr 5% - 9%",366.4833333,207532000000
"Cr-Mo Steels, Cr 5% - 9%",422.0388889,204774000000
"Cr-Mo Steels, Cr 5% - 9%",477.5944444,199948000000
"Cr-Mo Steels, Cr 5% - 9%",533.15,197190000000
"Cr-Mo Steels, Cr 5% - 9%",588.7055556,193053000000
"Cr-Mo Steels, Cr 5% - 9%",644.2611111,188227000000
"Cr-Mo Steels, Cr 5% - 9%",699.8166667,179953000000
"Cr-Mo Steels, Cr 5% - 9%",755.3722222,170301000000
"Cr-Mo Steels, Cr 5% - 9%",810.9277778,156511000000
"Cr-Mo Steels, Cr 5% - 9%",866.4833333,140653000000
"Cr-Mo Steels, Cr 5% - 9%",922.0388889,125485000000
"Cr-Mo Steels, Cr 5% - 9%",977.5944444,106869000000
"Cr-Mo Steels, Cr 5% - 9%",1033.15,87563417456
"C70600",74.81666667,131000000000
"C70600",144.2611111,128932000000
"C70600",199.8166667,127553000000
"C70600",294.2611111,124106000000
"C70600",366.4833333,121348000000
"C70600",422.0388889,119279000000
"C70600",477.5944444,116521000000
"C70600",533.15,114453000000
"C70600",588.7055556,110316000000
"C70600",644.2611111,106179000000
"Titanium",294.2611111,106869000000
"Titanium",366.4833333,103421000000
"Titanium",422.0388889,100663000000
"Titanium",477.5944444,96526601920
"Titanium",533.15,91700271824
"Titanium",588.7055556,86873941728
"Titanium",644.2611111,82047611632
"Titanium",699.8166667,77221281536
"UNS S31254",273.15,166991000000
"UNS N08020",273.15,193053000000
"UNS N06022",273.15,203395000000
